platform,date,engagement_score_sum,engagement_score_mean,engagement_score_count,likes_sum,comments_sum,shares_sum,engagement_ma
facebook,2025-07-22,3352,838.0,4,2255,445,652,3352.0
facebook,2025-07-23,7812,651.0,12,4906,1218,1688,5582.0
facebook,2025-07-24,941,941.0,1,583,60,298,4035.0
facebook,2025-07-25,5235,872.5,6,3340,698,1197,4335.0
facebook,2025-07-26,7055,1007.86,7,4735,896,1424,4879.0
facebook,2025-07-27,5233,747.57,7,3319,520,1394,4938.0
facebook,2025-07-28,6567,729.67,9,4269,875,1423,5170.714285714285
facebook,2025-07-29,5879,839.86,7,4135,419,1325,5531.714285714285
facebook,2025-07-30,1837,612.33,3,1195,257,385,4678.142857142857
facebook,2025-07-31,9411,855.55,11,6939,1011,1461,5888.142857142857
facebook,2025-08-01,3641,728.2,5,2615,408,618,5660.428571428572
facebook,2025-08-02,5559,617.67,9,3782,669,1108,5446.714285714285
facebook,2025-08-03,7086,708.6,10,4487,842,1757,5711.428571428572
facebook,2025-08-04,8371,837.1,10,5893,719,1759,5969.142857142857
facebook,2025-08-05,6256,782.0,8,3716,847,1693,6023.0
facebook,2025-08-06,2504,834.67,3,1650,340,514,6118.285714285715
facebook,2025-08-07,7879,787.9,10,5560,1163,1156,5899.428571428572
facebook,2025-08-08,5890,736.25,8,4060,480,1350,6220.714285714285
facebook,2025-08-09,7919,879.89,9,5338,1082,1499,6557.857142857143
facebook,2025-08-10,6053,756.62,8,4498,552,1003,6410.285714285715
facebook,2025-08-11,5197,866.17,6,3634,696,867,5956.857142857143
facebook,2025-08-12,4673,667.57,7,3224,686,763,5730.714285714285
facebook,2025-08-13,6640,737.78,9,4781,946,913,6321.571428571428
facebook,2025-08-14,9570,736.15,13,6732,956,1882,6563.142857142857
facebook,2025-08-15,8473,770.27,11,5592,1269,1612,6932.142857142857
facebook,2025-08-16,4359,726.5,6,2761,663,935,6423.571428571428
facebook,2025-08-17,8028,802.8,10,5387,1098,1543,6705.714285714285
facebook,2025-08-18,6556,819.5,8,4549,907,1100,6899.857142857143
facebook,2025-08-19,5163,645.38,8,3024,922,1217,6969.857142857143
facebook,2025-08-20,8456,768.73,11,6260,776,1420,7229.285714285715
facebook,2025-08-21,4526,905.2,5,3018,528,980,6508.714285714285
instagram,2025-07-22,18043,1202.87,15,14453,2706,884,18043.0
instagram,2025-07-23,9790,1398.57,7,7654,1598,538,13916.5
instagram,2025-07-24,13098,1309.8,10,10379,1870,849,13643.666666666666
instagram,2025-07-25,6533,1633.25,4,5748,557,228,11866.0
instagram,2025-07-26,19793,1319.53,15,16757,2183,853,13451.4
instagram,2025-07-27,3813,953.25,4,3070,423,320,11845.0
instagram,2025-07-28,8178,1168.29,7,6518,1062,598,11321.142857142857
instagram,2025-07-29,7495,1249.17,6,6017,784,694,9814.285714285714
instagram,2025-07-30,6475,1079.17,6,5059,1131,285,9340.714285714286
instagram,2025-07-31,7377,1229.5,6,6440,726,211,8523.42857142857
instagram,2025-08-01,4803,1200.75,4,4070,505,228,8276.285714285714
instagram,2025-08-02,11143,1392.88,8,9367,1360,416,7040.571428571428
instagram,2025-08-03,17380,1241.43,14,14431,1724,1225,8978.714285714286
instagram,2025-08-04,13468,1224.36,11,10986,1561,921,9734.42857142857
instagram,2025-08-05,7613,1268.83,6,6178,834,601,9751.285714285714
instagram,2025-08-06,1655,551.67,3,796,609,250,9062.714285714286
instagram,2025-08-07,4251,1062.75,4,3600,312,339,8616.142857142857
instagram,2025-08-08,13348,1112.33,12,10135,2029,1184,9836.857142857143
instagram,2025-08-09,11572,1285.78,9,10188,742,642,9898.142857142857
instagram,2025-08-10,20092,1545.54,13,17296,1682,1114,10285.57142857143
instagram,2025-08-11,6129,875.57,7,4897,643,589,9237.142857142857
instagram,2025-08-12,15662,1423.82,11,13245,1519,898,10387.0
instagram,2025-08-13,4994,1248.5,4,3998,679,317,10864.0
instagram,2025-08-14,15923,1224.85,13,13095,1960,868,12531.42857142857
instagram,2025-08-15,7608,1086.86,7,6204,1090,314,11711.42857142857
instagram,2025-08-16,3150,1575.0,2,2777,217,156,10508.285714285714
instagram,2025-08-17,9569,1367.0,7,8006,941,622,9005.0
instagram,2025-08-18,6315,1263.0,5,5155,716,444,9031.57142857143
instagram,2025-08-19,8024,1146.29,7,6417,1107,500,7940.428571428572
instagram,2025-08-20,6119,874.14,7,4652,1051,416,8101.142857142857
instagram,2025-08-21,8211,1173.0,7,6506,1017,688,6999.428571428572
twitter,2025-07-22,3862,386.2,10,2640,435,787,3862.0
twitter,2025-07-23,1671,334.2,5,1107,267,297,2766.5
twitter,2025-07-24,2884,360.5,8,1760,431,693,2805.6666666666665
twitter,2025-07-25,2586,369.43,7,1517,334,735,2750.75
twitter,2025-07-26,4873,374.85,13,2845,631,1397,3175.2
twitter,2025-07-27,4475,406.82,11,3325,336,814,3391.8333333333335
twitter,2025-07-28,2768,461.33,6,1843,253,672,3302.714285714286
twitter,2025-07-29,2868,478.0,6,1819,231,818,3160.714285714286
twitter,2025-07-30,2450,408.33,6,1627,324,499,3272.0
twitter,2025-07-31,3395,377.22,9,2255,322,818,3345.0
twitter,2025-08-01,5095,424.58,12,2992,589,1514,3703.4285714285716
twitter,2025-08-02,5093,424.42,12,2620,739,1734,3734.8571428571427
twitter,2025-08-03,2355,392.5,6,1425,339,591,3432.0
twitter,2025-08-04,4373,485.89,9,2910,497,966,3661.285714285714
twitter,2025-08-05,4102,410.2,10,2395,595,1112,3837.5714285714284
twitter,2025-08-06,3592,399.11,9,2376,354,862,4000.714285714286
twitter,2025-08-07,2941,490.17,6,1972,251,718,3935.8571428571427
twitter,2025-08-08,4048,404.8,10,2693,382,973,3786.285714285714
twitter,2025-08-09,2830,471.67,6,1889,322,619,3463.0
twitter,2025-08-10,3660,366.0,10,1872,461,1327,3649.4285714285716
twitter,2025-08-11,6021,401.4,15,3629,874,1518,3884.8571428571427
twitter,2025-08-12,2610,372.86,7,1564,465,581,3671.714285714286
twitter,2025-08-13,2352,336.0,7,1628,287,437,3494.5714285714284
twitter,2025-08-14,3716,464.5,8,2565,381,770,3605.285714285714
twitter,2025-08-15,2990,498.33,6,1852,252,886,3454.1428571428573
twitter,2025-08-16,3817,424.11,9,2306,459,1052,3595.1428571428573
twitter,2025-08-17,2380,476.0,5,1435,296,649,3412.285714285714
twitter,2025-08-18,3592,449.0,8,2343,493,756,3065.285714285714
twitter,2025-08-19,4454,404.91,11,2761,424,1269,3328.714285714286
twitter,2025-08-20,3367,336.7,10,1931,379,1057,3473.714285714286
twitter,2025-08-21,3642,404.67,9,2273,351,1018,3463.1428571428573
youtube,2025-07-21,2573,2573.0,1,2147,406,20,2573.0
youtube,2025-07-22,13062,2177.0,6,11041,1803,218,7817.5
youtube,2025-07-23,27279,3409.88,8,25087,1704,488,14304.666666666666
