platform,level_1,post_id,content,engagement_score,likes,comments,shares
facebook,319,facebook_319_2811,The future of data analytics is here. #AI #Python #DataScience,1390,946,152,292
facebook,382,facebook_382_6081,Latest trends in data for 2024. #DataEngineering #Python #BigData,1362,963,101,298
facebook,908,facebook_908_1613,Check out this amazing machine learning tutorial! #AI #BigData #SQL #MachineLearning,1342,975,188,179
instagram,3,instagram_3_2444,How machine learning is transforming industries. #Python #DataEngineering #BigData,2270,1982,167,121
instagram,455,instagram_455_1081,5 tips for becoming a better AI engineer. #Python #AI,2249,1884,230,135
instagram,576,instagram_576_1612,Check out this amazing data engineering tutorial! #BigData #DataScience #AI #Python,2238,1933,229,76
twitter,472,twitter_472_3088,Check out this amazing machine learning tutorial! #MachineLearning #DataScience #BigData,728,469,77,182
twitter,37,twitter_37_3311,Just launched our new data product. What do you think? #BigData #SQL #DataScience,724,471,79,174
twitter,479,twitter_479_5711,Just launched our new AI product. What do you think? #DataEngineering #DataScience #BigData,704,495,96,113
youtube,570,youtube_570_7162,Just launched our new data engineering product. What do you think? #BigData #MachineLearning #DataEngineering,5531,4972,472,87
youtube,544,youtube_544_6325,5 tips for becoming a better data engineering engineer. #DataScience #Python,5481,4953,449,79
youtube,237,youtube_237_5435,5 tips for becoming a better data engineer. #SQL #DataEngineering #MachineLearning #AI,5307,4802,442,63
