post_id,content,engagement_score,likes,comments,shares
facebook_729_8006,5 tips for becoming a better AI engineer. #MachineLearning #Python,1381,980,121,280
facebook_309_5408,How AI is transforming industries. #DataScience #SQL #DataEngineering,1371,981,145,245
facebook_603_4335,Latest trends in data for 2024. #BigData #DataEngineering #DataScience,1366,956,168,242
instagram_767_1694,Latest trends in AI for 2024. #DataEngineering #DataScience,2277,1995,230,52
instagram_378_8965,5 tips for becoming a better machine learning engineer. #BigData #SQL,2243,1995,132,116
instagram_325_6778,The future of data analytics is here. #MachineLearning #AI #DataEngineering,2236,1944,177,115
twitter_682_7228,Latest trends in AI for 2024. #Python #MachineLearning #AI,731,494,83,154
twitter_961_4031,Latest trends in big data for 2024. #AI #MachineLearning,713,467,58,188
twitter_830_3965,Check out this amazing AI tutorial! #AI #DataScience #BigData,709,485,96,128
youtube_347_7346,The future of big data analytics is here. #MachineLearning #DataEngineering #Python #BigData,5329,4815,479,35
youtube_601_6254,Check out this amazing big data tutorial! #DataEngineering #MachineLearning #DataScience #AI,5296,4958,311,27
youtube_555_4767,Check out this amazing big data tutorial! #MachineLearning #DataScience,5269,4786,406,77
